name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Edinburgh, Scotland, United Kingdom",2016-12-01,51.4,45.8,48.5,51.4,41.7,45.1,40.3,73.4,0.0,0,0.0,,0.0,0.0,26.6,15.3,250.2,1027.1,73.1,14.0,26.3,2.2,1,,2016-12-01T08:20:01,2016-12-01T15:43:37,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-02,45.3,34.4,40.6,45.3,34.0,39.6,38.3,91.8,0.0,0,0.0,,0.0,0.0,14.1,5.8,246.8,1027.8,67.7,11.0,9.4,0.8,1,,2016-12-02T08:21:38,2016-12-02T15:42:48,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-03,42.8,30.6,37.0,42.8,29.2,36.5,36.1,96.5,0.009,100,12.5,"rain,snow",0.0,0.0,4.9,5.7,216.8,1027.4,83.7,9.4,15.2,1.3,1,,2016-12-03T08:23:13,2016-12-03T15:42:02,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-04,41.0,26.0,34.3,40.5,26.0,33.3,30.5,86.2,0.007,100,4.17,rain,0.0,0.0,8.1,5.7,147.4,1027.7,66.4,10.4,24.8,2.1,1,,2016-12-04T08:24:45,2016-12-04T15:41:19,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-05,33.1,22.5,26.5,33.1,22.5,26.5,25.7,96.7,0.0,0,0.0,,0.0,0.3,8.1,2.8,252.1,1025.4,45.8,4.4,26.6,2.2,2,,2016-12-05T08:26:14,2016-12-05T15:40:41,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-06,51.3,26.7,35.1,51.3,23.2,34.5,34.6,98.2,0.008,100,4.17,"rain,snow",0.0,0.0,30.4,6.8,242.7,1021.7,84.7,3.9,8.7,0.6,1,,2016-12-06T08:27:40,2016-12-06T15:40:07,0.24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-07,57.4,53.1,55.6,57.4,53.1,55.6,51.1,85.2,0.051,100,8.33,rain,0.0,0.0,44.6,24.6,229.6,1012.3,57.9,13.9,7.4,0.7,0,,2016-12-07T08:29:04,2016-12-07T15:39:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-08,53.4,42.5,49.7,53.4,38.7,48.4,46.0,87.1,0.003,100,4.17,rain,0.0,0.0,36.5,16.6,241.0,1017.7,46.0,8.7,11.8,1.0,1,,2016-12-08T08:30:24,2016-12-08T15:39:10,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-09,55.6,39.2,51.2,55.6,37.3,50.7,47.1,86.3,0.013,100,8.33,rain,0.0,0.0,34.4,17.6,227.1,1014.2,68.1,11.1,6.8,0.5,0,,2016-12-09T08:31:41,2016-12-09T15:38:48,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-10,51.5,43.4,47.9,51.5,36.8,43.0,42.8,82.5,0.002,100,8.33,rain,0.0,0.0,33.2,20.6,238.4,1013.7,43.2,9.8,19.5,1.7,1,,2016-12-10T08:32:55,2016-12-10T15:38:30,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-11,49.7,43.3,46.7,44.5,37.0,41.3,42.3,84.7,0.001,100,4.17,rain,0.0,0.0,26.8,17.1,241.9,1017.8,66.0,11.6,8.3,0.7,1,,2016-12-11T08:34:05,2016-12-11T15:38:16,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-12,47.0,36.2,43.3,45.2,36.2,42.1,39.9,88.1,0.0,0,0.0,,0.0,0.0,16.3,6.0,245.2,1018.5,70.8,12.0,12.9,1.0,1,,2016-12-12T08:35:12,2016-12-12T15:38:06,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-13,46.3,35.2,41.2,42.2,34.9,38.9,39.7,94.5,0.016,100,4.17,rain,0.0,0.0,17.2,9.0,68.4,1016.7,72.2,6.9,12.1,1.0,1,,2016-12-13T08:36:15,2016-12-13T15:38:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-14,54.8,43.5,49.4,54.8,40.4,47.9,45.4,86.8,0.044,100,8.33,rain,0.0,0.0,24.4,17.4,200.7,1013.5,72.1,9.7,18.0,1.5,1,,2016-12-14T08:37:15,2016-12-14T15:37:59,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-15,51.4,43.5,47.1,51.4,41.3,45.6,43.8,88.4,0.001,100,4.17,rain,0.0,0.0,19.7,8.6,99.9,1014.1,78.2,7.3,8.2,0.7,0,,2016-12-15T08:38:11,2016-12-15T15:38:02,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-16,50.9,39.4,46.5,50.9,33.3,44.2,43.0,87.5,0.015,100,12.5,rain,0.0,0.0,18.3,11.2,228.2,1021.3,71.6,9.8,7.4,0.8,0,,2016-12-16T08:39:03,2016-12-16T15:38:10,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-17,46.2,37.4,42.2,40.0,30.8,36.0,38.0,85.2,0.0,0,0.0,,0.0,0.0,28.9,16.0,237.6,1032.7,54.2,12.5,18.8,1.6,1,,2016-12-17T08:39:51,2016-12-17T15:38:21,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-18,49.3,42.7,46.6,45.6,38.3,42.4,43.1,87.5,0.025,100,4.17,rain,0.0,0.0,26.4,12.1,245.9,1031.2,86.8,12.1,7.5,0.6,0,,2016-12-18T08:40:36,2016-12-18T15:38:37,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-19,48.4,31.7,42.9,45.5,31.7,39.7,39.8,88.8,0.0,0,0.0,,0.0,0.0,28.9,10.7,247.2,1025.7,67.7,10.8,6.9,0.6,0,,2016-12-19T08:41:16,2016-12-19T15:38:57,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-20,47.2,28.2,38.7,41.0,28.2,34.8,36.2,91.1,0.007,100,4.17,rain,0.0,0.0,35.8,20.1,211.9,1013.2,77.8,9.6,6.5,0.6,0,,2016-12-20T08:41:52,2016-12-20T15:39:21,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-21,44.1,37.2,40.2,38.8,29.1,32.3,35.7,84.1,0.314,100,16.67,rain,0.0,0.0,38.9,22.8,229.0,1007.7,48.5,12.5,17.7,1.5,1,,2016-12-21T08:42:24,2016-12-21T15:39:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-22,43.5,35.8,40.0,35.1,26.9,31.3,35.8,85.1,0.628,100,16.67,rain,0.0,0.0,40.3,24.1,230.7,1014.6,60.6,12.4,20.5,1.7,1,,2016-12-22T08:42:52,2016-12-22T15:40:23,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-23,50.0,39.4,44.5,50.0,30.9,36.9,38.9,80.7,0.419,100,12.5,rain,0.0,0.0,48.9,32.3,223.9,1008.6,70.5,11.1,4.3,0.3,0,,2016-12-23T08:43:16,2016-12-23T15:40:59,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-24,48.1,37.5,42.0,41.5,27.5,33.3,37.7,84.6,0.305,100,16.67,rain,0.0,0.0,50.7,25.8,244.9,1009.6,60.6,13.3,13.4,1.2,1,,2016-12-24T08:43:36,2016-12-24T15:41:40,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-25,56.0,40.6,50.8,56.0,31.7,48.3,45.7,82.7,0.047,100,12.5,rain,0.0,0.0,46.0,28.3,240.2,1006.4,79.6,12.6,6.9,0.5,1,,2016-12-25T08:43:51,2016-12-25T15:42:26,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-26,42.2,35.4,39.4,35.3,24.7,30.4,34.5,82.5,0.229,100,16.67,rain,0.0,0.0,60.2,27.0,254.6,1020.0,47.3,11.6,19.4,1.7,1,,2016-12-26T08:44:03,2016-12-26T15:43:15,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-27,44.1,36.4,41.7,37.7,33.9,35.8,36.1,80.6,0.0,0,0.0,,0.0,0.1,24.8,14.9,241.0,1037.9,57.7,12.6,23.4,2.0,1,,2016-12-27T08:44:10,2016-12-27T15:44:08,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-28,46.1,37.2,42.8,41.0,32.9,38.1,38.6,85.0,0.0,0,0.0,,0.0,0.0,23.7,13.8,233.4,1036.6,74.0,11.9,14.4,1.4,1,,2016-12-28T08:44:12,2016-12-28T15:45:05,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-29,48.1,41.1,44.9,43.9,35.1,39.1,39.8,82.3,0.0,0,0.0,,0.0,0.0,33.3,17.2,227.0,1029.7,56.0,9.7,15.8,1.4,1,,2016-12-29T08:44:11,2016-12-29T15:46:05,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-30,53.6,48.1,52.2,53.6,42.5,51.7,46.1,79.6,0.0,0,0.0,,0.0,0.0,42.5,21.8,231.8,1025.2,81.8,9.4,7.4,0.6,0,,2016-12-30T08:44:05,2016-12-30T15:47:10,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2016-12-31,53.3,41.4,49.9,53.3,39.6,48.2,43.9,79.9,0.042,100,4.17,rain,0.0,0.0,41.9,25.9,238.4,1019.0,85.1,11.6,7.5,0.7,0,,2016-12-31T08:43:56,2016-12-31T15:48:18,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-01,42.0,32.3,37.8,38.2,28.9,33.3,31.5,78.0,0.02,100,12.5,"rain,snow",0.0,0.0,30.2,11.8,344.7,1023.9,50.4,18.8,24.9,2.1,1,,2017-01-01T08:43:41,2017-01-01T15:49:29,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-02,40.6,28.6,34.2,35.1,22.0,27.6,29.5,83.0,0.0,0,0.0,,0.0,0.0,22.8,12.0,244.3,1029.9,30.9,15.6,18.9,1.5,1,,2017-01-02T08:43:23,2017-01-02T15:50:44,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-03,46.6,38.1,44.0,41.1,29.7,36.9,40.0,85.7,0.0,0,0.0,,0.0,0.0,35.6,21.2,246.1,1021.7,63.3,23.0,16.6,1.4,1,,2017-01-03T08:43:00,2017-01-03T15:52:02,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-04,46.2,31.5,38.8,41.9,27.9,35.1,29.1,68.7,0.0,0,0.0,,0.0,0.0,27.7,12.8,314.6,1027.1,61.8,14.8,27.6,2.5,2,,2017-01-04T08:42:34,2017-01-04T15:53:24,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-05,39.9,22.5,30.9,36.1,19.1,28.5,26.3,83.4,0.0,0,0.0,,0.0,0.0,23.3,9.1,224.7,1032.4,66.4,13.0,27.4,2.4,2,,2017-01-05T08:42:04,2017-01-05T15:54:49,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-06,51.0,40.3,46.4,51.0,33.6,41.9,43.0,88.0,0.013,100,8.33,rain,0.0,0.0,32.2,16.4,239.1,1026.3,76.2,15.4,4.3,0.3,0,,2017-01-06T08:41:30,2017-01-06T15:56:17,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-07,48.4,41.4,46.6,45.3,38.1,43.3,44.8,93.6,0.001,100,4.17,rain,0.0,0.0,17.4,9.9,250.7,1029.5,80.9,10.9,17.6,1.5,1,,2017-01-07T08:40:52,2017-01-07T15:57:48,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-08,50.0,44.4,48.0,47.6,39.6,44.1,44.9,88.9,0.0,0,0.0,,0.0,0.0,26.8,17.1,232.8,1027.1,75.4,13.5,11.1,1.0,1,,2017-01-08T08:40:10,2017-01-08T15:59:22,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-09,51.5,39.5,44.3,51.5,29.4,37.7,40.2,85.7,0.124,100,8.33,rain,0.0,0.0,44.5,23.5,226.8,1006.5,60.0,11.8,26.2,2.3,1,,2017-01-09T08:39:24,2017-01-09T16:00:58,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-10,47.9,40.0,44.8,42.3,32.1,37.9,39.8,82.6,0.048,100,4.17,rain,0.0,0.0,34.4,21.4,243.3,1001.0,49.8,10.9,15.3,1.3,1,,2017-01-10T08:38:34,2017-01-10T16:02:38,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-11,51.3,35.3,41.4,51.3,25.2,32.5,34.0,75.4,0.045,100,12.5,rain,0.0,0.0,53.5,34.4,262.0,998.9,46.4,11.2,29.4,2.5,2,,2017-01-11T08:37:41,2017-01-11T16:04:19,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-12,35.7,30.6,33.6,29.1,22.1,25.0,30.0,86.5,0.009,100,4.17,rain,0.0,1.1,32.9,19.5,245.5,998.5,47.1,14.1,28.0,2.3,1,,2017-01-12T08:36:45,2017-01-12T16:06:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
"Edinburgh, Scotland, United Kingdom",2017-01-13,38.9,28.9,34.5,32.4,20.7,26.5,26.9,73.9,0.002,100,4.17,rain,0.0,3.1,38.1,20.8,272.1,1007.5,53.1,17.5,34.8,2.9,2,,2017-01-13T08:35:44,2017-01-13T16:07:50,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03144099999,03158099999,03166099999,03171099999,EGPH,03155099999"
